Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,FUET-4020,1,FUET-4020,C391027
"C1, C4",0402,2,10pF,C1545
"C10, C12, C15, C16, C19, C20, C21, C23, C28, C29, C3, C31, C32, C33, C34, C35, C7, C8, C9",0402,19,100nF,C1525
C11,0402,1,1uF,C14445
"C13, C14, C17, C18, C2, C27",0402,6,10uF,C77000
C22,0402,1,100pF,C152819
C24,0402,1,2.2nF,C84703
C25,0402,1,10nF,C15195
C26,0402,1,4.7uF,C368809
C30,0402,1,220nF,C16651
"C5, C6",0402,2,2.2uF,C170151
D1,0402,1,White,C130725
D2,0402,1,Red,C130719
"D3, D6",D_SOD-323,2,B5819W,C22624
D4,0402,1,Yellow,C130721
D5,0402,1,Blue,C130724
"J1, J10, J11, J12, J3",JST_GH_SM06B-GHS-TB_06x1.25mm_Angled,5,GH 1.25mm 6P,C133065
"J13, J14, J15",JST_GH_SM04B-GHS-TB_04x1.25mm_Angled,3,GH 1.25mm 4P,C189895
J2,USB_C_Receptacle_GCT_USB4110,1,USB_C_USB2.0_14P,C709031
J4,microSD_HC_Hirose_DM3D-SF,1,Micro_SD_Card_Det1,C719027
J5,JST_ZH_S2B-ZR-SM4A-TF_1x02-1MP_P1.50mm_Horizontal,1,JST ZH 1.5mm 2P,C265329
J6,PWM_Conn_3x14,1,PWM_Conn_3x14,C3327492
J7,JST_ZH_S3B-ZR-SM4A-TF_1x03-1MP_P1.50mm_Horizontal,1,ZH 1.5mm 3P,C72591
J8,JST_ZH_S4B-ZR-SM4A-TF_1x04-1MP_P1.50mm_Horizontal,1,ZH 1.5mm 4P,C485354
J9,JST_GH_SM10B-GHS-TB_10x1.25mm_Angled,1,GH 1.25mm 10P,C2683602 
"Q1, Q2",SOT-23-3,2,S9013,C111269
"R1, R2",0402,2,100k,C25741
R10,0402,1,1k5,C25867
"R11, R12, R13, R14, R15, R16, R19, R20, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32",0402,19,10k,C25531
R17,0402,1,15k,C25539
"R18, R21, R4, R6, R7, R8",0402,6,1k,C11702
R3,0402,1,4k7,C25900
"R33, R34",0402,2,120, C25079
R5,0402,1,180,C38941
R9,0402,1,5k1,C25905
SW2,SW_DIP_SPSTx03_Slide_KingTek_DSHP03TJ_W5.25mm_P1.27mm_JPin,1,SW_DIP_x03,C5123689
"TP1, TP2, TP3",PinHeader_1x03_P1.27mm_Vertical,3,Test Pin,C24980
U1,LQFP-100_14x14mm_P0.5mm,1,STM32F407VETx,C28730
"U10, U11",VDFN8_3X3_MCH-L,2,ATA6561-GBQW,C617297
U2,SOT-23-6,1,USBLC6-2SC6,C7519
"U3, U4",SOT-89-3,2,AMS1117-3.3,C22472154
U5,USON_LUXIG TR_WIN-L,1,W25X40CLUXIG,C401661
U6,BMI323_L,1,BMI323,C5368700
U7,IIM42352_L,1,ICM-42688-P,C1850418
U8,LIS2MDLTR,1,LIS2MDLTR,C919695
U9,ST_HLGA-10_2x2mm_P0.5mm_LayoutBorder3x2y,1,LPS22HH,C2827824
Y1,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,16MHz,C1985423
